age,education,black,hispanic,married,nodegree,re74,re75,treat,re78
27,13,1,0,0,0,0,0,1,0
27,8,1,0,0,1,0,0,1,0
38,11,1,0,0,1,0,0,1,0
23,8,0,1,0,1,0,0,1,3881.28
26,11,1,0,0,1,0,0,1,17230.96
21,12,0,0,0,0,0,0,1,8048.60
25,8,1,0,0,1,0,0,1,0
31,11,1,0,1,1,0,0,1,14509.93
17,10,1,0,0,1,0,0,1,0
25,11,1,0,0,1,0,0,1,0
21,12,1,0,0,0,0,0,1,9983.78
44,11,1,0,0,1,0,0,1,0
25,12,0,0,0,0,0,0,1,5587.50
18,9,1,0,0,1,0,0,1,4482.85
42,12,1,0,0,0,0,0,1,2456.15
25,10,1,0,0,1,0,0,1,0
31,9,0,1,0,1,0,0,1,26817.60
24,10,1,0,0,1,0,0,1,0
26,10,1,0,0,1,0,0,1,9265.79
25,11,1,0,0,1,0,0,1,485.23
18,11,1,0,0,1,0,0,1,4814.63
19,11,1,0,0,1,0,0,1,7458.10
43,9,1,0,0,1,0,0,1,0
27,13,1,0,0,0,0,0,1,34099.28
17,9,1,0,0,1,0,0,1,1953.27
30,11,1,0,0,1,0,0,1,0
26,10,1,0,1,1,2028.00,0,1,0
20,9,1,0,0,1,6083.99,0,1,8881.67
17,9,0,1,0,1,445.17,74.34,1,6210.67
20,12,1,0,0,0,989.27,165.21,1,0
18,11,1,0,0,1,858.25,214.56,1,929.88
27,12,1,0,1,0,3670.87,334.05,1,0
21,12,0,0,0,0,3670.87,334.05,1,12558.02
27,12,1,0,0,0,2143.41,357.95,1,22163.25
20,12,1,0,0,0,0,377.57,1,1652.64
19,10,1,0,0,1,0,385.27,1,8124.71
23,12,1,0,0,0,5506.31,501.07,1,671.33
29,14,1,0,0,0,0,679.67,1,17814.98
18,10,1,0,0,1,0,798.91,1,9737.15
19,9,1,0,0,1,0,798.91,1,17685.18
27,13,0,0,1,0,9381.57,853.72,1,0
18,11,0,0,0,1,3678.23,919.56,1,4321.71
27,9,1,0,1,1,0,934.45,1,1773.42
22,12,1,0,0,0,5605.85,936.18,1,0
23,10,1,0,1,1,0,936.44,1,11233.26
23,12,0,1,0,0,9385.74,1117.44,1,559.44
20,11,1,0,0,1,3637.50,1220.84,1,1085.44
17,9,1,0,0,1,1716.51,1253.44,1,5445.20
28,11,1,0,0,1,0,1284.08,1,60307.93
26,11,1,0,1,1,0,1392.85,1,1460.36
20,11,1,0,0,1,16318.62,1484.99,1,6943.34
24,11,1,0,1,1,824.39,1666.11,1,4032.71
31,9,1,0,0,1,0,1698.61,1,10363.27
23,8,0,0,1,1,0,1713.15,1,4232.31
18,10,1,0,0,1,2143.41,1784.27,1,11141.39
29,12,1,0,0,0,10881.94,1817.28,1,0
26,11,0,0,0,1,0,2226.27,1,13385.86
24,9,1,0,0,1,9154.70,2288.68,1,4849.56
25,12,1,0,0,0,14426.79,2409.27,1,0
24,10,1,0,0,1,4250.40,2421.95,1,1660.51
46,8,1,0,0,1,3165.66,2594.72,1,0
31,12,0,0,0,0,0,2611.22,1,2484.55
19,11,1,0,0,1,2305.03,2615.28,1,4146.60
19,8,1,0,0,1,0,2657.06,1,9970.68
27,11,1,0,0,1,2206.94,2666.27,1,0
26,11,1,0,1,1,0,2754.65,1,26372.28
20,10,1,0,0,1,5005.73,2777.36,1,5615.19
28,10,1,0,0,1,0,2836.51,1,3196.57
24,12,1,0,0,0,13765.75,2842.76,1,6167.68
19,8,1,0,0,1,2636.35,2937.26,1,7535.94
23,12,1,0,0,0,6269.34,3039.96,1,8484.24
42,9,1,0,1,1,0,3058.53,1,1294.41
25,13,1,0,0,0,12362.93,3090.73,1,0
18,9,1,0,0,1,0,3287.38,1,5010.34
21,12,1,0,0,0,6473.68,3332.41,1,9371.04
27,10,1,0,0,1,1001.15,3550.07,1,0
21,8,1,0,0,1,989.27,3695.90,1,4279.61
22,9,1,0,0,1,2192.88,3836.99,1,3462.56
31,4,1,0,0,1,8517.59,4023.21,1,7382.55
24,10,1,0,1,1,11703.20,4078.15,1,0
29,10,1,0,0,1,0,4398.95,1,0
29,12,1,0,0,0,9748.39,4878.94,1,10976.51
19,10,0,0,0,1,0,5324.11,1,13829.62
19,11,0,1,1,1,5424.48,5463.80,1,6788.46
31,9,1,0,0,1,10717.03,5517.84,1,9558.50
22,10,1,0,1,1,1468.35,5588.66,1,13228.28
21,9,1,0,0,1,6416.47,5749.33,1,743.67
17,10,1,0,0,1,1291.47,5793.85,1,5522.79
26,12,1,0,1,0,8408.76,5794.83,1,1424.94
20,9,0,1,0,1,12260.78,5875.05,1,1358.64
19,10,1,0,0,1,4121.95,6056.75,1,0
26,10,1,0,0,1,25929.68,6788.96,1,672.88
28,11,1,0,0,1,1929.03,6871.86,1,0
22,12,0,1,1,0,492.23,7055.70,1,10092.83
33,11,1,0,0,1,0,7867.92,1,6281.43
22,12,0,0,0,0,6759.99,8455.50,1,12590.71
29,10,0,1,0,1,0,8853.67,1,5112.01
33,12,1,0,1,0,20279.95,10941.35,1,15952.60
25,14,1,0,1,0,35040.07,11536.57,1,36646.95
35,9,1,0,1,1,13602.43,13830.64,1,12803.97
35,8,1,0,1,1,13732.07,17976.15,1,3786.63
33,11,1,0,1,1,14660.71,25142.24,1,4181.94
47,12,0,0,0,0,0,0,0,0
50,12,1,0,1,0,0,0,0,0
44,12,0,0,0,0,0,0,0,0
28,12,1,0,1,0,0,0,0,0
54,12,0,0,1,0,0,0,0,0
55,12,0,1,1,0,0,0,0,0
47,12,0,0,1,0,0,0,0,0
25,12,1,0,0,0,0,0,0,0
44,12,0,0,1,0,0,0,0,0
50,12,1,0,1,0,0,0,0,0
23,12,1,0,0,0,0,0,0,4728.73
49,14,0,0,1,0,0,0,0,0
55,14,0,0,1,0,0,0,0,0
34,14,1,0,1,0,0,0,0,0
34,16,0,0,1,0,0,0,0,11821.81
55,13,0,1,1,0,0,0,0,0
52,12,0,0,1,0,0,0,0,0
52,15,0,0,1,0,0,0,0,0
30,16,0,0,1,0,0,0,0,0
21,12,0,0,0,0,0,0,0,0
30,17,0,0,0,0,0,0,0,0
44,12,0,0,1,0,0,0,0,0
46,12,0,0,0,0,0,0,0,0
53,17,0,0,1,0,0,0,0,0
26,16,0,0,0,0,0,0,0,9014.13
49,12,0,0,1,0,0,0,0,13299.54
39,15,0,0,1,0,0,0,0,1921.04
26,17,0,0,1,0,0,0,0,11821.81
32,16,0,0,1,0,0,0,0,0
34,12,0,0,1,0,0,0,0,0
31,14,0,0,1,0,0,0,0,0
39,17,0,1,1,0,0,0,0,8866.36
40,17,0,0,1,0,0,0,0,0
31,12,0,0,1,0,0,0,0,0
27,13,0,0,1,0,0,0,0,28076.80
48,12,0,0,1,0,0,0,0,0
41,13,0,0,1,0,0,0,0,0
26,14,0,0,0,0,0,0,0,0
50,17,0,0,0,0,0,0,0,0
48,12,0,0,1,0,0,0,0,12930.11
45,16,0,0,1,0,0,0,0,0
37,13,0,0,1,0,0,0,0,0
33,12,0,0,1,0,0,0,0,0
31,12,0,0,1,0,0,0,0,0
36,12,1,0,1,0,0,0,0,17732.72
44,13,0,0,1,0,0,0,0,0
28,17,0,0,1,0,0,0,0,0
30,17,0,0,1,0,0,0,0,0
42,16,0,0,1,0,0,0,0,0
30,12,0,0,1,0,0,0,0,0
27,16,0,0,1,0,0,0,0,0
37,12,0,0,1,0,0,0,0,0
37,12,0,0,1,0,0,0,0,0
45,12,0,0,1,0,0,0,0,22165.90
35,16,0,0,1,0,0,0,0,0
37,17,0,0,1,0,0,0,0,66497.70
27,17,0,0,1,0,0,0,0,0
47,14,0,0,1,0,0,0,0,0
48,12,0,0,1,0,0,0,0,0
42,12,0,0,1,0,0,0,0,0
43,12,0,0,1,0,0,0,0,0
46,12,0,0,1,0,0,0,0,0
46,12,0,0,1,0,0,0,0,0
46,12,0,0,1,0,0,0,0,0
29,16,0,0,1,0,0,0,0,8396.44
39,13,0,0,1,0,0,0,0,0
32,12,0,0,1,0,0,0,0,0
48,16,0,0,1,0,0,0,0,0
48,16,0,0,1,0,0,0,0,0
41,13,0,0,1,0,0,0,0,0
42,13,0,0,1,0,0,0,0,0
42,13,0,0,1,0,0,0,0,0
42,13,0,0,1,0,0,0,0,0
54,13,0,0,1,0,0,0,0,0
29,14,0,0,1,0,0,0,0,0
54,12,0,0,1,0,0,0,0,0
54,12,0,0,1,0,0,0,0,0
26,14,0,0,1,0,0,0,0,0
43,17,0,0,1,0,0,0,0,36943.16
54,12,0,0,1,0,0,0,0,0
37,12,0,0,1,0,0,0,0,0
54,16,0,0,1,0,0,0,0,0
48,17,0,0,1,0,0,0,0,0
44,12,0,0,1,0,0,0,0,0
54,12,0,0,1,0,0,0,0,0
38,12,0,0,1,0,0,0,0,0
37,13,0,0,1,0,0,0,0,0
27,17,0,0,1,0,0,0,0,0
51,12,0,0,1,0,0,0,0,0
39,12,0,0,1,0,0,0,0,0
55,14,0,0,1,0,0,0,0,0
54,13,0,0,1,0,0,0,0,0
54,13,0,0,1,0,0,0,0,0
34,12,0,0,1,0,0,0,0,0
50,14,0,0,1,0,0,0,0,0
50,12,0,0,1,0,0,0,0,0
21,14,0,1,0,0,0,71.61,0,3657.37
26,12,0,0,1,0,0,71.61,0,0
21,13,0,0,0,0,0,692.85,0,2659.91
23,16,0,0,1,0,0,1521.77,0,0
21,15,0,0,0,0,0,3222.58,0,14777.27
23,14,0,0,0,0,0,3401.61,0,5319.82
27,16,0,0,1,0,0,4833.87,0,0
25,12,0,0,1,0,0,5729.03,0,26599.08
27,17,0,0,0,0,0,6087.10,0,7388.63
55,12,0,0,1,0,0,6266.13,0,10344.09
20,12,0,0,1,0,0,7161.29,0,0
18,12,0,0,1,0,0,8056.45,0,19210.45
27,12,0,0,1,0,0,8235.48,0,20688.17
28,16,0,0,1,0,0,8951.61,0,36943.16
36,12,1,0,1,0,0,8951.61,0,11821.81
33,13,1,0,1,0,0,10741.93,0,20688.17
36,12,0,0,1,0,0,10741.93,0,0
27,13,0,0,1,0,0,16112.90,0,29554.53
45,17,0,0,1,0,0,16112.90,0,17732.72
45,17,0,0,1,0,0,16112.90,0,17732.72
45,17,0,0,1,0,0,16112.90,0,17732.72
31,12,0,0,1,0,0,17903.23,0,0
34,12,0,0,1,0,0,17903.23,0,63542.24
34,12,0,0,1,0,0,17903.23,0,63542.24
47,14,0,0,1,0,0,17903.23,0,22165.90
35,16,0,0,1,0,0,19693.55,0,17732.72
43,17,0,0,1,0,0,21161.61,0,29554.53
25,12,1,0,1,0,0,21483.87,0,1220.60
29,15,0,0,0,0,0,21483.87,0,22313.67
31,12,0,0,1,0,0,21483.87,0,20688.17
52,12,0,0,1,0,0,21483.87,0,22165.90
22,16,0,0,0,0,0,22558.06,0,32509.98
53,15,0,0,1,0,0,24169.36,0,28076.80
29,17,0,0,1,0,0,25959.68,0,36898.83
31,13,0,0,1,0,0,25959.68,0,39898.62
35,12,0,0,1,0,0,26138.71,0,29554.53
29,16,0,0,1,0,0,26854.84,0,23643.63
39,12,0,0,1,0,0,28645.16,0,31032.26
37,14,0,0,1,0,0,32225.81,0,0
30,14,0,0,1,0,0,32225.81,0,22165.90
43,17,0,0,1,0,0,42251.61,0,41376.34
32,17,0,0,1,0,0,46548.39,0,39898.62
44,12,0,0,1,0,0,71612.91,0,81274.96
32,16,0,0,1,0,577.98,6910.65,0,18609.01
43,12,1,0,1,0,715.13,1879.84,0,5910.91
24,12,1,0,0,0,783.71,0,0,10344.09
22,13,0,0,0,0,783.71,0,0,2305.25
35,15,0,0,1,0,979.63,537.10,0,0
26,15,0,0,0,0,979.63,1879.84,0,3251.00
29,17,0,0,1,0,979.63,8951.61,0,0
23,12,1,0,0,0,1077.60,3222.58,0,5910.91
19,12,0,0,1,0,1154.01,8593.55,0,26599.08
48,16,0,0,1,0,1240.22,1466.27,0,1152.63
48,16,0,0,1,0,1240.22,1466.27,0,1152.63
22,12,1,0,1,0,1269.60,0,0,0
20,12,1,0,0,0,1367.57,12532.26,0,2955.45
24,17,0,0,1,0,1371.49,0,0,24825.81
27,16,0,0,1,0,1469.45,1253.23,0,4363.73
21,14,0,0,0,0,1506.68,2685.48,0,11082.95
53,13,0,0,1,0,1567.41,3938.71,0,4728.73
53,13,0,0,1,0,1567.41,3938.71,0,4728.73
53,16,0,0,1,0,1665.38,0,0,2955.45
22,15,0,0,1,0,1763.34,5370.97,0,22165.90
21,15,0,0,0,0,1763.34,9667.74,0,4137.63
30,12,0,0,1,0,1959.27,1790.32,0,1477.73
21,12,1,0,0,0,1959.27,5460.48,0,1152.63
27,16,0,0,1,0,1959.27,17545.16,0,21427.04
22,15,0,0,0,0,1967.10,2864.52,0,5024.27
22,12,1,0,1,0,2006.29,2470.65,0,0
23,13,0,0,1,0,2155.19,5370.97,0,11378.50
33,12,0,0,1,0,2351.12,0,0,2770.74
24,13,0,0,0,0,2351.12,3127.69,0,14777.27
20,12,1,0,0,0,2351.12,4475.81,0,17732.72
22,16,0,0,0,0,2351.12,23274.19,0,25860.21
19,12,0,0,1,0,2547.05,10741.93,0,0
22,15,0,0,1,0,2547.05,17187.10,0,25860.21
43,14,0,0,1,0,2645.01,0,0,6992.60
39,12,0,0,1,0,2742.97,7161.29,0,11821.81
28,12,1,0,0,0,2938.90,2864.52,0,0
19,14,0,0,0,0,2938.90,3222.58,0,0
26,17,0,0,1,0,2938.90,12532.26,0,23643.63
18,12,0,0,1,0,3134.83,11100,0,20688.17
23,15,0,0,1,0,3320.96,2506.45,0,9974.65
24,12,1,0,0,0,3330.75,4654.84,0,11821.81
27,12,0,0,1,0,3526.68,0,0,5910.91
29,17,0,0,1,0,3526.68,15217.74,0,24382.49
22,12,1,0,0,0,3579.58,17133.39,0,11821.81
27,12,0,0,1,0,3722.61,254.23,0,1090.56
27,15,0,0,1,0,3722.61,4654.84,0,19210.45
20,12,1,0,0,0,3730.44,8951.61,0,13299.54
27,12,1,0,1,0,3918.53,1994.42,0,17732.72
23,12,1,0,1,0,3918.53,2864.52,0,8866.36
23,12,1,0,1,0,3918.53,11637.10,0,9753.00
22,12,0,0,1,0,3918.53,15396.77,0,39898.62
31,12,1,0,1,0,3918.53,18440.32,0,24973.58
26,17,0,0,0,0,4173.24,11637.10,0,9457.45
20,12,0,0,1,0,4310.39,0,0,4433.18
30,17,0,0,1,0,4310.39,4296.77,0,22476.22
42,16,0,0,0,0,4398.55,17903.23,0,16254.99
21,14,0,0,1,0,4506.31,9309.68,0,23052.54
25,16,0,0,1,0,4604.28,2954.03,0,0
27,15,0,0,1,0,4702.24,0,0,0
26,17,0,0,1,0,4702.24,19693.55,0,26599.08
29,16,0,0,1,0,4800.20,17187.10,0,23643.63
20,12,0,0,0,0,4811.96,716.13,0,0
52,12,0,0,1,0,4898.17,0,0,0
23,17,0,0,0,0,4898.17,2148.39,0,33987.71
21,14,0,0,1,0,4898.17,7161.29,0,17141.63
24,16,0,0,0,0,4898.17,8951.61,0,17732.72
30,17,0,0,1,0,4898.17,12084.68,0,5172.04
25,17,0,0,0,0,4996.13,17414.47,0,5030.18
21,12,0,0,1,0,5094.09,6803.23,0,7388.63
28,12,0,0,1,0,5094.09,10741.93,0,9014.13
20,12,0,0,1,0,5182.26,6266.13,0,15244.23
36,16,0,0,0,0,5290.02,4833.87,0,5319.82
19,12,1,0,0,0,5387.98,8056.45,0,12117.36
21,12,1,0,1,0,5868.00,3043.55,0,10048.54
47,12,0,0,1,0,5868.00,9513.77,0,5319.82
24,16,0,0,1,0,5877.80,4833.87,0,33987.71
24,12,1,0,1,0,5877.80,8951.61,0,17732.72
25,17,0,0,1,0,5877.80,10562.90,0,30101.29
21,16,0,0,1,0,5877.80,10562.90,0,16993.86
31,12,1,0,1,0,5877.80,11064.19,0,15959.45
26,14,0,0,1,0,5877.80,13427.42,0,31032.26
22,12,1,0,0,0,5891.52,10367.76,0,5763.13
20,13,1,0,0,0,5897.39,12532.26,0,14777.27
20,13,0,1,1,0,6073.73,10025.81,0,27337.94
27,14,0,0,1,0,6269.65,0,0,26007.99
26,12,0,0,0,0,6269.65,11637.10,0,10344.09
23,17,0,0,1,0,6367.62,5370.97,0,0
23,12,1,0,0,0,6494.97,12532.26,0,14186.17
22,12,1,0,0,0,6583.14,4475.81,0,0
21,12,1,0,0,0,6661.51,11458.07,0,11208.56
21,12,0,0,1,0,6661.51,12532.26,0,25121.35
28,14,0,0,1,0,6739.88,7877.42,0,13742.86
27,12,1,0,1,0,6855.47,0,0,8275.27
25,14,0,0,0,0,6857.43,1790.32,0,0
30,12,0,0,1,0,6857.43,3222.58,0,3251.00
27,13,1,0,1,0,6857.43,4096.26,0,24514.01
22,13,0,0,0,0,6857.43,6266.13,0,17363.29
23,16,0,0,1,0,6857.43,14143.55,0,22165.90
24,12,1,0,1,0,6857.43,14322.58,0,26599.08
19,13,0,0,0,0,6857.43,15217.74,0,17732.72
21,14,0,0,1,0,6974.99,11407.93,0,17141.63
29,17,0,0,1,0,7053.36,7161.29,0,8866.36
27,16,0,0,1,0,7053.36,11637.10,0,25121.35
28,15,0,0,1,0,7249.29,15217.74,0,9161.91
26,12,0,0,1,0,7406.03,0,0,2955.45
54,12,0,0,1,0,7445.21,0,0,0
28,15,1,0,0,0,7445.21,0,0,12708.45
27,15,0,0,1,0,7445.21,10741.93,0,18471.58
26,13,0,0,0,0,7449.13,5729.03,0,9605.22
21,12,0,0,1,0,7523.58,7934.71,0,0
53,14,1,0,1,0,7641.14,8421.68,0,8127.50
21,13,0,0,1,0,7688.16,12743.52,0,11082.95
22,13,0,0,0,0,7739.10,3759.68,0,16254.99
27,16,0,0,0,0,7837.07,0,0,0
37,15,0,1,1,0,7837.07,179.03,0,11821.81
33,13,0,0,0,0,7837.07,3580.65,0,16254.99
19,12,1,0,0,0,7837.07,3759.68,0,3694.32
28,12,0,0,1,0,7837.07,4475.81,0,15663.90
32,12,1,0,1,0,7837.07,5370.97,0,8866.36
24,12,0,0,0,0,7837.07,5370.97,0,5910.91
22,12,0,0,0,0,7837.07,7497.87,0,17732.72
20,12,1,0,1,0,7837.07,8951.61,0,20688.17
23,12,0,0,1,0,7837.07,8951.61,0,12058.25
27,12,1,0,1,0,7837.07,8951.61,0,2210.68
23,12,1,0,1,0,7837.07,12532.26,0,21870.35
19,12,0,1,1,0,7837.07,12532.26,0,13299.54
27,14,0,0,0,0,7837.07,14322.58,0,16254.99
22,16,0,0,1,0,7837.07,16112.90,0,16254.99
42,12,0,0,1,0,7837.07,16112.90,0,15516.13
20,13,0,0,0,0,7837.07,17491.45,0,2216.59
29,13,0,0,0,0,7958.54,0,0,0
23,12,1,0,1,0,7993.81,13427.42,0,4433.18
19,12,0,0,1,0,8054.55,9309.68,0,11963.67
21,12,1,0,1,0,8150.55,13092.63,0,10583.48
26,12,0,0,1,0,8228.92,13606.45,0,11969.58
21,16,0,0,0,0,8228.92,22379.03,0,27337.94
24,12,1,0,1,0,8275.94,15416.47,0,8335.86
29,12,0,0,1,0,8389.58,5908.06,0,14481.72
26,12,1,0,1,0,8616.86,8593.55,0,10344.09
23,14,1,0,1,0,8675.63,10398.19,0,13003.99
25,12,0,0,0,0,8683.47,9130.65,0,15811.67
21,12,0,0,1,0,8816.70,5729.03,0,18096.24
25,12,1,0,0,0,8816.70,6266.13,0,10344.09
22,12,0,0,1,0,8816.70,9939.87,0,15486.58
22,12,0,0,1,0,8816.70,10741.93,0,19653.76
23,12,1,0,1,0,8816.70,12174.19,0,18471.58
18,12,0,0,0,0,8816.70,14322.58,0,22165.90
27,12,1,0,0,0,8816.70,14322.58,0,19210.45
21,12,1,0,0,0,8816.70,14859.68,0,5578.42
25,12,0,0,1,0,8816.70,16112.90,0,26599.08
21,13,0,0,1,0,8816.70,17903.23,0,28224.58
27,12,0,0,1,0,8816.70,44758.07,0,0
23,12,0,0,1,0,8840.21,7161.29,0,10416.50
21,12,0,0,1,0,8867.64,14995.74,0,17732.72
23,14,1,0,1,0,8934.26,12532.26,0,8866.36
23,16,1,0,0,0,9012.63,16490.66,0,19210.45
31,17,0,0,1,0,9012.63,29465.13,0,39817.34
27,12,1,0,1,0,9067.49,5370.97,0,6649.77
21,12,1,0,1,0,9169.37,7161.29,0,7388.63
23,12,1,0,1,0,9169.37,8271.29,0,10403.20
19,12,0,0,1,0,9208.55,5550,0,11526.27
46,12,0,0,1,0,9284.97,8504.03,0,10376.60
24,12,0,0,1,0,9371.17,2864.52,0,2216.59
20,13,0,1,0,0,9404.48,0,0,8275.27
24,17,0,0,1,0,9404.48,5370.97,0,22904.76
23,12,0,0,1,0,9404.48,9130.65,0,11821.81
34,12,0,0,1,0,9404.48,9166.45,0,23475.16
35,12,0,0,1,0,9404.48,9313.26,0,11821.81
23,12,0,0,0,0,9404.48,11834.03,0,16846.08
21,14,1,0,0,0,9420.16,5370.97,0,9900.77
21,12,0,1,1,0,9496.57,8772.58,0,10512.55
26,12,0,0,1,0,9561.22,0,0,13299.54
23,13,0,0,1,0,9698.37,8593.55,0,23643.63
27,12,0,1,1,0,9698.37,11279.03,0,14038.40
50,12,0,1,1,0,9788.50,9846.77,0,13299.54
27,12,1,0,1,0,9796.33,0,0,11821.81
25,12,0,0,1,0,9796.33,2685.48,0,25121.35
21,12,1,0,1,0,9796.33,4296.77,0,14777.27
21,13,0,0,1,0,9796.33,8593.55,0,28787.59
33,12,1,0,0,0,9796.33,8951.61,0,0
19,12,0,0,1,0,9796.33,9846.77,0,20688.17
20,12,0,0,1,0,9796.33,10204.84,0,29258.99
22,12,1,0,1,0,9796.33,10741.93,0,11162.75
32,12,0,0,1,0,9796.33,11458.07,0,11821.81
24,13,0,0,1,0,9796.33,11458.07,0,11526.27
29,12,1,0,1,0,9796.33,12532.26,0,19210.45
23,12,1,0,1,0,9796.33,12532.26,0,11821.81
26,14,0,0,1,0,9796.33,13427.42,0,20688.17
20,12,0,0,1,0,9796.33,13427.42,0,10713.52
27,12,1,0,1,0,9796.33,14322.58,0,11821.81
24,12,1,0,1,0,9796.33,14322.58,0,33987.71
24,17,0,0,0,0,9796.33,16112.90,0,36943.16
21,13,0,0,0,0,9796.33,16112.90,0,20688.17
25,12,1,0,1,0,9796.33,21483.87,0,6649.77
30,12,1,0,1,0,9796.33,25064.52,0,29554.53
26,12,1,0,0,0,9913.89,10741.93,0,15619.57
22,12,0,0,0,0,9951.12,14322.58,0,14777.27
47,12,0,0,1,0,9968.75,10523.52,0,11283.92
22,12,0,0,0,0,9992.26,15754.84,0,19949.31
31,12,1,0,1,0,10188.19,8951.61,0,9605.22
35,12,0,0,1,0,10188.19,9309.68,0,11821.81
49,12,0,0,1,0,10231.29,11082.10,0,6537.46
25,13,1,0,0,0,10246.96,15396.77,0,12486.79
23,12,0,0,1,0,10290.07,10562.90,0,9221.01
25,17,0,0,1,0,10384.11,22004.86,0,49429.95
23,16,0,0,1,0,10384.11,26854.84,0,11821.81
34,17,0,0,0,0,10580.04,7161.29,0,5910.91
21,12,0,0,1,0,10580.04,8056.45,0,12117.36
27,12,1,0,0,0,10623.14,3222.58,0,8866.36
23,12,0,0,1,0,10775.97,5370.97,0,11821.81
23,12,0,0,1,0,10775.97,7161.29,0,16993.86
32,17,0,0,0,0,10775.97,7161.29,0,0
27,12,1,0,1,0,10775.97,8951.61,0,7536.41
24,12,1,0,0,0,10775.97,9309.68,0,8275.27
34,12,0,0,1,0,10775.97,11637.10,0,14186.17
29,12,0,0,1,0,10775.97,12532.26,0,25860.21
28,14,0,0,1,0,10775.97,13427.42,0,0
18,12,0,0,0,0,10775.97,14322.58,0,21427.04
20,12,1,0,0,0,10775.97,16372.50,0,29554.53
25,13,0,0,1,0,10775.97,16739.52,0,18966.62
23,12,1,0,1,0,10775.97,20481.29,0,29391.98
26,17,0,0,1,0,10775.97,29182.26,0,35465.44
24,12,0,0,0,0,10873.93,15754.84,0,20132.55
23,12,0,0,1,0,10971.89,10204.84,0,31032.26
23,16,0,0,0,0,10971.89,18798.39,0,20924.61
26,12,1,0,1,0,11167.82,1074.19,0,8866.36
